orderItemId:int,orderId:int,productId:int,quantity:int
1,11,49,3
2,11,52,3
3,11,58,2
4,11,56,3
5,11,53,1
6,2,31,2
7,2,51,3
8,2,60,3
9,13,44,1
10,13,51,3
11,13,57,3
12,13,36,1
13,1,41,2
14,1,55,2
15,1,60,2
16,1,50,3
17,9,42,3
18,9,55,3
19,9,56,2
20,9,39,3
21,9,33,2
22,12,36,1
23,12,54,2
24,12,58,2
25,12,34,1
26,12,31,2
27,7,35,1
28,7,53,1
29,7,60,2
30,7,33,2
31,5,11,3
32,5,24,3
33,5,27,2
34,5,7,1
35,5,23,2
36,14,5,2
37,14,21,2
38,14,29,1
39,16,1,1
40,16,21,2
41,16,25,1
42,4,4,2
43,4,23,1
44,4,26,2
45,3,14,2
46,3,20,3
47,3,25,1
48,6,13,2
49,6,23,2
50,6,30,3
51,6,7,2
52,6,28,1
53,15,10,1
54,15,23,1
55,15,27,3
56,15,11,1
57,10,8,1
58,10,23,3
59,10,29,3
60,17,10,3
61,17,22,3
62,17,30,3
63,17,28,2
64,17,13,3
65,8,12,2
66,8,22,2
67,8,30,3
68,8,11,3
69,21,34,1
70,21,54,1
71,21,58,1
72,21,32,1
73,21,38,2
74,22,50,1
75,22,54,3
76,22,58,3
77,22,48,2
78,22,41,3
79,27,31,3
80,27,51,1
81,27,58,1
82,27,48,2
83,27,43,3
84,18,39,3
85,18,54,3
86,18,57,1
87,18,36,1
88,18,49,3
89,25,49,1
90,25,51,2
91,25,57,3
92,25,44,1
93,25,54,1
94,30,41,1
95,30,53,3
96,30,58,1
97,29,36,2
98,29,53,3
99,29,58,3
100,29,51,3
101,34,41,2
102,34,54,3
103,34,59,3
104,34,31,3
105,36,46,3
106,36,51,2
107,36,59,1
108,19,16,2
109,19,23,1
110,19,30,2
111,19,11,1
112,23,2,3
113,23,19,3
114,23,26,2
115,33,11,3
116,33,22,1
117,33,29,3
118,33,28,2
119,31,18,3
120,31,20,1
121,31,26,2
122,31,8,2
123,20,6,2
124,20,21,1
125,20,27,2
126,20,14,1
127,20,25,2
128,32,4,2
129,32,24,3
130,32,28,1
131,32,3,2
132,28,6,1
133,28,22,1
134,28,28,2
135,28,8,2
136,26,7,3
137,26,20,2
138,26,30,3
139,26,3,2
140,26,4,1
141,24,3,2
142,24,21,2
143,24,30,1
144,35,12,2
145,35,21,3
146,35,28,1
147,35,8,1
148,35,17,1
149,38,35,1
150,38,54,1
151,38,59,1
152,38,36,2
153,38,50,3
154,47,48,3
155,47,53,2
156,47,57,2
157,52,34,1
158,52,53,1
159,52,60,2
160,45,43,1
161,45,54,1
162,45,57,2
163,45,38,2
164,51,31,1
165,51,51,2
166,51,59,3
167,42,41,2
168,42,55,2
169,42,56,2
170,42,57,2
171,42,32,2
172,46,40,2
173,46,52,2
174,46,58,3
175,46,43,1
176,46,36,3
177,54,50,2
178,54,53,1
179,54,59,1
180,54,48,2
181,53,38,3
182,53,53,3
183,53,59,2
184,53,50,3
185,58,35,2
186,58,55,2
187,58,56,2
188,58,59,3
189,55,41,3
190,55,54,3
191,55,60,2
192,43,48,1
193,43,54,3
194,43,59,1
195,43,60,3
196,43,43,3
