orderId:int,completedAt:date,customerId:int
1,2024-03-01T11:05:53,24
2,2024-03-01T11:58:27,9
3,2024-03-01T12:02:16,6
4,2024-03-01T12:26:54,25
5,2024-03-01T12:32:56,14
6,2024-03-01T13:06:48,18
7,2024-03-01T13:10:59,1
8,2024-03-01T13:11:06,2
9,2024-03-01T13:28:02,20
10,2024-03-01T13:33:09,11
11,2024-03-01T17:34:47,17
12,2024-03-01T17:47:34,21
13,2024-03-01T17:56:59,7
14,2024-03-01T18:45:58,19
15,2024-03-01T18:58:04,26
16,2024-03-01T19:27:51,4
17,2024-03-01T19:33:51,23
18,2024-03-01T20:12:55,30
19,2024-03-01T20:43:01,12
20,2024-03-01T21:13:44,22
21,2024-03-01T21:13:56,27
22,2024-03-01T21:42:15,8
23,2024-03-01T22:17:55,5
24,2024-03-01T22:46:37,3
25,2024-03-01T22:49:39,29
26,2024-03-01T22:53:59,10
27,2024-03-01T23:04:42,15
28,2024-03-01T23:07:07,28
29,2024-03-01T23:26:03,16
30,2024-03-01T23:51:33,13
31,2024-03-02T11:19:25,3
32,2024-03-02T11:41:18,11
33,2024-03-02T12:06:35,14
34,2024-03-02T12:48:22,7
35,2024-03-02T12:48:51,4
36,2024-03-02T13:15:17,9
37,2024-03-02T13:44:51,13
38,2024-03-02T18:36:55,10
39,2024-03-02T18:55:55,5
40,2024-03-02T19:06:32,1
41,2024-03-02T21:08:16,16
42,2024-03-02T21:43:38,6
43,2024-03-02T21:56:47,8
44,2024-03-02T22:29:39,15
45,2024-03-02T23:02:36,12
46,2024-03-02T23:14:55,17
47,2024-03-02T23:26:46,2
48,2024-03-03T11:07:14,3
49,2024-03-03T11:15:03,7
50,2024-03-03T11:21:13,16
51,2024-03-03T12:01:10,9
52,2024-03-03T12:06:01,18
53,2024-03-03T12:41:09,5
54,2024-03-03T12:49:49,2
55,2024-03-03T12:50:44,12
56,2024-03-03T13:24:15,21
57,2024-03-03T13:38:11,8
58,2024-03-03T13:47:57,20
59,2024-03-03T17:03:56,13
60,2024-03-03T17:44:45,10
61,2024-03-03T18:29:23,15
62,2024-03-03T19:31:10,17
63,2024-03-03T19:53:30,1
64,2024-03-03T20:20:47,14
65,2024-03-03T20:26:34,19
66,2024-03-03T20:53:17,4
67,2024-03-03T22:10:35,6
68,2024-03-03T23:16:46,11
69,2024-03-04T11:11:36,19
70,2024-03-04T11:32:05,16
71,2024-03-04T11:44:07,7
72,2024-03-04T12:06:38,27
73,2024-03-04T12:07:49,14
74,2024-03-04T12:09:20,1
75,2024-03-04T12:22:48,15
76,2024-03-04T12:28:51,4
77,2024-03-04T12:42:54,12
78,2024-03-04T12:56:44,25
79,2024-03-04T17:18:48,24
80,2024-03-04T17:38:19,18
81,2024-03-04T17:56:00,26
82,2024-03-04T18:09:53,10
83,2024-03-04T18:41:13,13
84,2024-03-04T18:58:58,8
85,2024-03-04T19:00:46,21
86,2024-03-04T19:26:11,28
87,2024-03-04T19:42:08,3
88,2024-03-04T19:49:05,5
89,2024-03-04T19:58:18,11
90,2024-03-04T20:49:30,20
91,2024-03-04T20:49:50,17
92,2024-03-04T21:12:53,9
93,2024-03-04T21:32:41,6
94,2024-03-04T22:39:10,23
95,2024-03-04T22:55:24,22
96,2024-03-04T23:49:20,2
97,2024-03-05T11:36:10,11
98,2024-03-05T11:38:31,6
99,2024-03-05T11:53:57,5
100,2024-03-05T12:04:59,7
101,2024-03-05T12:13:07,17
102,2024-03-05T12:22:55,8
103,2024-03-05T12:46:22,24
104,2024-03-05T12:58:37,4
105,2024-03-05T13:13:14,23
106,2024-03-05T13:22:57,2
107,2024-03-05T13:33:49,9
108,2024-03-05T13:58:52,13
109,2024-03-05T17:37:32,20
110,2024-03-05T18:12:36,12
111,2024-03-05T18:43:36,10
112,2024-03-05T18:54:53,14
113,2024-03-05T19:09:34,18
114,2024-03-05T19:56:03,1
115,2024-03-05T20:26:33,19
116,2024-03-05T22:37:10,22
117,2024-03-05T22:55:32,21
118,2024-03-05T23:31:10,16
119,2024-03-05T23:33:23,3
120,2024-03-05T23:38:40,15
121,2024-03-06T11:12:50,1
122,2024-03-06T12:50:28,3
123,2024-03-06T13:03:36,6
124,2024-03-06T13:04:01,9
125,2024-03-06T13:15:46,5
126,2024-03-06T17:52:29,8
127,2024-03-06T18:22:31,10
128,2024-03-06T18:38:30,4
129,2024-03-06T20:09:37,2
130,2024-03-06T20:46:03,7
131,2024-03-07T11:06:03,17
132,2024-03-07T11:14:42,6
133,2024-03-07T11:27:56,15
134,2024-03-07T11:31:40,12
135,2024-03-07T11:49:57,2
136,2024-03-07T11:55:41,7
137,2024-03-07T11:58:24,18
138,2024-03-07T12:01:31,24
139,2024-03-07T12:03:14,13
140,2024-03-07T13:46:44,21
141,2024-03-07T13:54:37,5
142,2024-03-07T13:58:08,8
143,2024-03-07T17:10:29,19
144,2024-03-07T18:30:08,14
145,2024-03-07T20:11:17,3
146,2024-03-07T21:06:25,26
147,2024-03-07T21:31:36,25
148,2024-03-07T22:03:03,23
149,2024-03-07T22:10:42,9
150,2024-03-07T22:21:08,20
151,2024-03-07T22:25:41,16
152,2024-03-07T22:26:20,11
153,2024-03-07T22:42:07,4
154,2024-03-07T22:43:11,1
155,2024-03-07T22:51:24,22
156,2024-03-07T23:25:34,10
157,2024-03-08T11:04:45,8
158,2024-03-08T11:14:44,1
159,2024-03-08T11:26:07,3
160,2024-03-08T12:50:03,9
161,2024-03-08T13:01:53,10
162,2024-03-08T13:36:45,6
163,2024-03-08T13:36:58,2
164,2024-03-08T18:05:46,12
165,2024-03-08T18:10:24,4
166,2024-03-08T21:23:38,7
167,2024-03-08T21:47:00,5
168,2024-03-08T22:31:50,11
169,2024-03-09T11:02:14,23
170,2024-03-09T11:21:21,10
171,2024-03-09T11:56:40,22
172,2024-03-09T12:13:57,3
173,2024-03-09T12:30:18,8
174,2024-03-09T12:31:39,7
175,2024-03-09T12:32:12,5
176,2024-03-09T12:40:19,6
177,2024-03-09T12:46:59,1
178,2024-03-09T13:00:05,4
179,2024-03-09T13:33:28,21
180,2024-03-09T13:34:06,15
181,2024-03-09T13:40:38,16
182,2024-03-09T17:38:22,17
183,2024-03-09T18:25:36,20
184,2024-03-09T19:04:24,2
185,2024-03-09T19:12:38,12
186,2024-03-09T19:13:11,18
187,2024-03-09T19:43:23,13
188,2024-03-09T21:35:49,19
189,2024-03-09T22:11:26,9
190,2024-03-09T23:09:41,14
191,2024-03-09T23:56:45,11
192,2024-03-10T11:37:52,13
193,2024-03-10T11:48:19,22
194,2024-03-10T11:53:25,17
195,2024-03-10T12:15:30,15
196,2024-03-10T12:24:00,21
197,2024-03-10T12:24:45,7
198,2024-03-10T12:43:26,1
199,2024-03-10T12:57:27,25
200,2024-03-10T13:07:16,18
201,2024-03-10T13:15:48,26
202,2024-03-10T13:20:37,11
203,2024-03-10T13:37:12,20
204,2024-03-10T13:51:20,10
205,2024-03-10T18:17:27,23
206,2024-03-10T19:22:21,6
207,2024-03-10T19:25:34,9
208,2024-03-10T19:39:01,19
209,2024-03-10T19:43:25,5
210,2024-03-10T19:50:24,24
211,2024-03-10T19:52:51,27
212,2024-03-10T19:55:05,16
213,2024-03-10T20:07:19,12
214,2024-03-10T20:15:30,14
215,2024-03-10T20:50:23,3
216,2024-03-10T21:15:40,8
217,2024-03-10T22:07:24,2
218,2024-03-10T23:56:58,4
219,2024-03-11T11:30:43,8
220,2024-03-11T11:47:15,10
221,2024-03-11T12:09:57,5
222,2024-03-11T12:13:46,9
223,2024-03-11T12:15:37,6
224,2024-03-11T12:53:00,2
225,2024-03-11T13:19:59,3
226,2024-03-11T17:38:01,1
227,2024-03-11T17:39:42,4
228,2024-03-11T19:40:11,13
229,2024-03-11T20:54:03,7
230,2024-03-11T22:46:28,11
231,2024-03-11T23:37:32,12
232,2024-03-12T11:44:12,2
233,2024-03-12T12:03:34,12
234,2024-03-12T12:09:23,22
235,2024-03-12T12:14:11,5
236,2024-03-12T12:36:55,16
237,2024-03-12T12:43:57,23
238,2024-03-12T12:44:43,11
239,2024-03-12T12:45:50,15
240,2024-03-12T13:04:14,3
241,2024-03-12T13:10:51,14
242,2024-03-12T13:46:58,1
243,2024-03-12T17:32:10,19
244,2024-03-12T18:09:53,25
245,2024-03-12T19:18:15,4
246,2024-03-12T19:23:31,10
247,2024-03-12T19:49:04,6
248,2024-03-12T19:58:56,13
249,2024-03-12T20:22:36,20
250,2024-03-12T20:29:28,7
251,2024-03-12T20:54:12,18
252,2024-03-12T20:57:31,24
253,2024-03-12T22:03:37,8
254,2024-03-12T22:58:14,17
255,2024-03-12T23:40:04,21
256,2024-03-12T23:56:29,9
257,2024-03-13T11:14:09,4
258,2024-03-13T13:40:39,6
259,2024-03-13T17:06:30,2
260,2024-03-13T17:15:46,8
261,2024-03-13T18:23:42,10
262,2024-03-13T18:36:49,11
263,2024-03-13T21:24:29,3
264,2024-03-13T22:04:20,1
265,2024-03-13T22:52:46,9
266,2024-03-13T23:11:41,5
267,2024-03-13T23:32:47,7
268,2024-03-13T23:35:19,12
269,2024-03-14T11:04:12,8
270,2024-03-14T11:08:01,20
271,2024-03-14T11:47:46,6
272,2024-03-14T11:57:39,17
273,2024-03-14T12:18:39,18
274,2024-03-14T12:19:19,10
275,2024-03-14T12:19:25,2
276,2024-03-14T12:35:28,19
277,2024-03-14T17:11:06,5
278,2024-03-14T17:15:32,9
279,2024-03-14T19:29:46,16
280,2024-03-14T19:44:14,1
281,2024-03-14T19:46:41,4
282,2024-03-14T20:33:31,3
283,2024-03-14T21:06:39,14
284,2024-03-14T21:31:27,13
285,2024-03-14T22:33:42,12
286,2024-03-14T23:17:38,11
287,2024-03-14T23:18:38,15
288,2024-03-14T23:56:41,7
289,2024-03-15T11:12:42,8
290,2024-03-15T11:22:27,3
291,2024-03-15T11:24:59,9
292,2024-03-15T12:37:04,5
293,2024-03-15T13:59:20,7
294,2024-03-15T13:59:38,2
295,2024-03-15T19:07:08,13
296,2024-03-15T19:14:23,1
297,2024-03-15T20:24:32,4
298,2024-03-15T21:41:20,10
299,2024-03-15T22:51:09,12
300,2024-03-15T23:10:35,11
301,2024-03-15T23:15:13,6
302,2024-03-16T11:02:10,11
303,2024-03-16T11:17:41,17
304,2024-03-16T12:06:27,24
305,2024-03-16T12:10:28,1
306,2024-03-16T12:38:08,14
307,2024-03-16T13:17:03,20
308,2024-03-16T13:22:53,19
309,2024-03-16T13:28:30,21
310,2024-03-16T13:45:46,16
311,2024-03-16T13:53:02,5
312,2024-03-16T17:30:27,4
313,2024-03-16T17:30:33,2
314,2024-03-16T18:03:41,23
315,2024-03-16T18:48:45,9
316,2024-03-16T19:19:23,6
317,2024-03-16T20:24:17,12
318,2024-03-16T20:31:45,18
319,2024-03-16T20:46:26,8
