orderItemId:int,orderId:int,productId:int,quantity:int
1,1,13,1
2,1,24,2
3,1,30,2
4,1,28,1
5,2,15,1
6,2,19,3
7,2,30,1
8,3,13,2
9,3,24,2
10,3,28,2
11,4,5,1
12,4,24,2
13,4,26,3
14,4,10,2
15,5,7,1
16,5,22,2
17,5,26,2
18,6,7,1
19,6,24,3
20,6,30,2
21,7,3,1
22,7,24,3
23,7,26,1
24,7,15,2
25,7,20,3
26,8,4,3
27,8,20,3
28,8,26,3
29,8,19,2
30,8,2,1
31,9,5,1
32,9,22,2
33,9,28,2
34,9,6,2
35,9,24,2
36,10,15,1
37,10,19,1
38,10,28,3
39,10,17,2
40,10,8,1
41,11,8,3
42,11,23,1
43,11,28,2
44,12,10,2
45,12,19,2
46,12,28,3
47,12,13,1
48,13,17,2
49,13,23,1
50,13,25,2
51,13,1,2
52,14,5,2
53,14,22,1
54,14,27,2
55,14,18,1
56,15,10,3
57,15,24,1
58,15,25,2
59,15,3,3
60,15,16,1
61,16,31,3
62,16,54,3
63,16,56,2
64,17,31,2
65,17,55,3
66,17,57,1
67,17,34,3
68,17,46,1
69,18,15,3
70,18,19,2
71,18,26,3
72,18,17,3
73,19,14,1
74,19,19,3
75,19,28,2
76,19,17,3
77,20,2,1
78,20,20,1
79,20,26,3
80,20,15,2
81,21,14,1
82,21,23,2
83,21,30,1
84,21,16,1
85,21,7,3
86,22,10,3
87,22,21,3
88,22,26,1
89,22,25,2
90,22,6,3
91,23,6,1
92,23,21,1
93,23,25,3
94,23,4,2
95,24,15,2
96,24,21,1
97,24,29,3
98,25,13,3
99,25,24,1
100,25,27,1
101,26,16,2
102,26,24,2
103,26,26,3
104,26,27,3
105,26,29,3
106,27,1,3
107,27,24,1
108,27,25,3
109,27,17,1
110,28,4,3
111,28,21,2
112,28,30,3
113,29,3,1
114,29,20,2
115,29,25,2
116,29,5,2
117,29,7,3
118,30,8,2
119,30,20,2
120,30,26,1
121,30,30,2
122,31,12,1
123,31,23,3
124,31,27,3
125,32,17,1
126,32,24,2
127,32,29,3
128,32,9,2
129,33,4,1
130,33,24,2
131,33,30,1
132,33,29,3
133,33,18,3
134,34,7,3
135,34,24,3
136,34,27,2
137,34,21,3
138,35,7,1
139,35,21,3
140,35,28,3
141,35,4,2
142,35,16,1
143,36,11,1
144,36,20,2
145,36,27,1
146,36,21,3
147,36,30,3
148,37,38,2
149,37,55,3
150,37,60,3
151,37,44,2
152,38,35,2
153,38,54,2
154,38,57,2
155,39,38,2
156,39,55,3
157,39,59,2
158,39,42,1
159,39,41,3
160,40,44,2
161,40,51,1
162,40,59,3
163,41,32,1
164,41,51,1
165,41,59,2
166,41,39,1
167,41,48,1
168,42,36,1
169,42,55,1
170,42,59,3
171,43,31,1
172,43,55,3
173,43,58,1
174,44,49,3
175,44,51,2
176,44,58,3
177,45,1,3
178,45,23,1
179,45,25,1
180,45,13,2
181,46,9,3
182,46,20,3
183,46,30,3
184,46,19,3
185,46,25,3
186,47,12,1
187,47,19,3
188,47,30,2
189,47,29,1
190,48,15,1
191,48,20,1
192,48,26,2
193,48,2,1
194,48,22,2
195,49,4,3
196,49,20,1
197,49,27,1
198,50,3,1
199,50,24,3
200,50,29,1
201,51,15,3
202,51,23,1
203,51,29,1
204,51,13,3
205,52,12,1
206,52,21,1
207,52,26,1
208,52,23,2
209,52,19,2
210,53,11,1
211,53,19,3
212,53,27,2
213,53,26,1
214,53,25,2
215,54,2,3
216,54,20,1
217,54,28,3
218,55,9,2
219,55,20,2
220,55,30,1
221,55,22,2
222,56,14,1
223,56,20,2
224,56,29,2
225,56,22,3
226,56,16,2
227,57,5,3
228,57,20,1
229,57,27,2
230,57,2,2
231,57,1,1
232,58,11,1
233,58,22,1
234,58,26,1
235,58,29,2
236,59,8,1
237,59,24,1
238,59,29,3
239,60,17,1
240,60,21,1
241,60,27,2
242,60,18,1
243,60,19,2
244,61,9,2
245,61,20,1
246,61,30,2
247,61,2,1
248,62,38,2
249,62,52,2
250,62,59,3
251,62,32,3
252,63,43,2
253,63,55,1
254,63,56,3
255,63,45,2
256,64,38,2
257,64,55,3
258,64,58,3
259,64,50,3
260,64,32,3
261,65,34,2
262,65,51,2
263,65,59,1
264,65,33,1
265,66,31,2
266,66,54,3
267,66,57,2
268,67,14,3
269,67,23,3
270,67,29,2
271,67,9,2
272,67,17,2
273,68,14,2
274,68,22,3
275,68,27,2
276,69,16,3
277,69,19,2
278,69,30,1
279,70,12,1
280,70,19,3
281,70,29,3
282,70,5,1
283,71,7,3
284,71,22,1
285,71,30,2
286,71,11,3
287,71,26,2
288,72,16,1
289,72,19,3
290,72,29,2
291,73,10,1
292,73,24,1
293,73,25,3
294,73,19,1
295,74,7,2
296,74,24,3
297,74,25,2
298,75,9,1
299,75,24,2
300,75,28,3
301,75,1,3
302,76,14,2
303,76,24,2
304,76,25,2
305,76,12,2
306,76,8,2
307,77,13,2
308,77,19,2
309,77,26,1
310,78,3,2
311,78,23,2
312,78,30,1
313,78,14,3
314,79,15,3
315,79,20,3
316,79,28,2
317,80,10,3
318,80,22,1
319,80,26,2
320,80,27,3
321,81,9,2
322,81,20,1
323,81,28,3
324,81,26,2
325,81,16,1
326,82,9,3
327,82,20,1
328,82,28,1
329,82,3,3
330,83,2,1
331,83,23,3
332,83,29,3
333,83,6,2
334,84,12,2
335,84,24,1
336,84,29,2
337,85,6,1
338,85,24,1
339,85,27,3
340,85,14,1
341,85,17,3
342,86,18,1
343,86,19,2
344,86,26,2
345,86,27,3
346,87,10,3
347,87,21,3
348,87,27,2
349,87,28,2
350,88,4,3
351,88,20,2
352,88,25,1
353,88,9,3
354,89,10,3
355,89,22,2
356,89,25,3
357,90,10,1
358,90,23,2
359,90,27,1
360,90,16,2
361,91,12,1
362,91,23,1
363,91,26,2
364,91,6,2
365,91,14,1
366,92,16,3
367,92,21,2
368,92,25,1
369,93,17,1
370,93,22,1
371,93,25,2
372,93,16,1
373,93,23,1
374,94,46,2
375,94,51,2
376,94,56,2
377,94,40,1
378,94,53,2
379,95,49,2
380,95,51,3
381,95,60,2
382,96,32,2
383,96,52,3
384,96,60,2
385,96,41,2
386,97,32,3
387,97,55,1
388,97,57,3
389,97,47,2
390,98,16,3
391,98,19,1
392,98,27,2
393,99,17,3
394,99,22,1
395,99,30,2
396,99,25,3
397,99,13,3
398,100,8,3
399,100,23,2
400,100,27,2
401,101,17,2
402,101,22,2
403,101,27,1
404,101,16,2
405,101,8,2
406,102,4,3
407,102,22,2
408,102,28,1
409,103,6,3
410,103,19,2
411,103,27,1
412,104,16,3
413,104,19,1
414,104,26,2
415,104,8,1
416,104,7,3
417,105,16,2
418,105,21,3
419,105,28,1
420,105,25,1
421,105,26,1
422,106,8,3
423,106,22,2
424,106,26,1
425,106,1,2
426,107,1,1
427,107,19,1
428,107,29,2
429,107,18,1
430,108,14,2
431,108,19,1
432,108,29,1
433,108,16,3
434,109,1,3
435,109,23,3
436,109,29,2
437,109,26,2
438,110,18,2
439,110,22,1
440,110,27,1
441,111,7,2
442,111,21,1
443,111,26,1
444,111,30,1
445,112,4,3
446,112,20,2
447,112,30,3
448,112,15,1
449,112,14,2
450,113,14,1
451,113,21,2
452,113,26,3
453,113,13,2
454,113,19,1
455,114,14,1
456,114,19,1
457,114,28,2
458,114,9,1
459,115,6,3
460,115,22,2
461,115,29,2
462,115,16,2
463,116,13,2
464,116,22,1
465,116,27,2
466,116,17,3
467,116,6,2
468,117,14,3
469,117,22,2
470,117,28,2
471,117,24,3
472,117,13,1
473,118,33,1
474,118,51,1
475,118,57,3
476,118,36,2
477,118,35,3
478,119,37,2
479,119,55,2
480,119,57,2
481,119,60,1
482,120,37,3
483,120,51,2
484,120,59,1
485,120,39,2
486,121,39,1
487,121,52,3
488,121,57,3
489,121,54,1
490,121,44,2
491,122,37,3
492,122,52,3
493,122,56,2
494,122,58,3
495,123,42,2
496,123,54,2
497,123,57,1
498,123,53,2
499,123,50,2
500,124,5,1
501,124,22,3
502,124,28,3
503,124,14,3
504,124,19,3
505,125,17,3
506,125,22,1
507,125,28,2
508,125,1,3
509,126,18,1
510,126,24,3
511,126,28,1
512,126,14,3
513,127,11,3
514,127,19,2
515,127,30,1
516,128,3,3
517,128,21,3
518,128,29,1
519,129,2,3
520,129,23,3
521,129,26,1
522,129,27,1
523,129,19,2
524,130,11,1
525,130,19,1
526,130,29,2
527,131,4,2
528,131,19,1
529,131,30,2
530,132,7,1
531,132,24,1
532,132,27,3
533,133,15,2
534,133,22,3
535,133,28,3
536,134,18,1
537,134,23,3
538,134,30,2
539,135,17,2
540,135,21,1
541,135,29,1
542,136,18,1
543,136,20,3
544,136,30,1
545,136,23,1
546,137,18,1
547,137,19,1
548,137,30,3
549,137,21,3
550,137,2,3
551,138,9,1
552,138,19,3
553,138,30,2
554,138,20,3
555,139,12,1
556,139,19,2
557,139,27,2
558,140,1,3
559,140,23,1
560,140,25,2
561,141,11,3
562,141,24,1
563,141,25,2
564,141,26,3
565,141,3,1
566,142,17,2
567,142,21,2
568,142,26,2
569,143,12,1
570,143,21,2
571,143,26,1
572,144,12,2
573,144,24,2
